Category,Specialty,Name,Type,Provider,Country/Region,Website,Notes
Course,Surgery,Basic Surgical Skills,Course,Royal College of Surgeons of England,UK,https://www.rcseng.ac.uk/education-and-exams/courses/,
Course,Surgery,Advanced Trauma Life Support (ATLS) Provider,Course,Royal College of Surgeons of England,UK,https://www.rcseng.ac.uk/education-and-exams/courses/,
Course,Surgery,Advanced Trauma Life Support (ATLS) Instructor,Course,Royal College of Surgeons of England,UK,https://www.rcseng.ac.uk/education-and-exams/courses/,
Course,Surgery,Care of the Critically Ill Surgical Patient (CCrISP),Course,Royal College of Surgeons of England,UK,https://www.rcseng.ac.uk/education-and-exams/courses/,
Course,Surgery,Systematic Training in Acute Illness Recognition and Treatment (START),Course,Royal College of Surgeons of England,UK,https://www.rcseng.ac.uk/education-and-exams/courses/,
Course,Surgery,Core Skills in Laparoscopic Surgery,Course,Royal College of Surgeons of England,UK,https://www.rcseng.ac.uk/education-and-exams/courses/,
Course,Surgery,Emergency Surgery Course,Course,Royal College of Surgeons of England,UK,https://www.rcseng.ac.uk/education-and-exams/courses/,
Course,Surgery,Basic Surgical Skills in Cardiothoracic Surgery,Course,Royal College of Surgeons of England,UK,https://www.rcseng.ac.uk/education-and-exams/courses/,
Course,Surgery,Surgical Anatomy Courses,Course,Royal College of Surgeons of England,UK,https://www.rcseng.ac.uk/education-and-exams/courses/,
Course,Surgery,Train the Trainers,Course,Royal College of Surgeons of England,UK,https://www.rcseng.ac.uk/education-and-exams/courses/,
Course,Surgery,Educational Supervisor Training,Course,Royal College of Surgeons of England,UK,https://www.rcseng.ac.uk/education-and-exams/courses/,
Course,Surgery,Clinical Leadership Courses,Course,Royal College of Surgeons of England,UK,https://www.rcseng.ac.uk/education-and-exams/courses/,
Course,Surgery,Edinburgh MRCS OSCE Preparation Course,Course,Royal College of Surgeons of Edinburgh,UK,https://www.rcsed.ac.uk/events-courses,
Course,Surgery,Non-Technical Skills for Surgeons (NOTSS),Course,Royal College of Surgeons of Edinburgh,UK,https://www.rcsed.ac.uk/events-courses,
Course,Surgery,Training the Trainers,Course,Royal College of Surgeons of Edinburgh,UK,https://www.rcsed.ac.uk/events-courses,
Course,Surgery,Future Surgeons Key Skills,Course,Royal College of Surgeons of Edinburgh,UK,https://www.rcsed.ac.uk/events-courses,
Course,Surgery,Future Leaders Programme for Surgeons,Course,Royal College of Surgeons of Edinburgh,UK,https://www.rcsed.ac.uk/events-courses,
Course,Surgery,Core Surgical Anatomy Course,Course,Royal College of Surgeons of Edinburgh,UK,https://www.rcsed.ac.uk/events-courses,
Course,Surgery,Basic Surgical Skills,Course,Royal College of Surgeons of Edinburgh,UK,https://www.rcsed.ac.uk/events-courses,
Course,Surgery,MRCS Part B Preparation Course,Course,Royal College of Surgeons of Edinburgh,UK,https://www.rcsed.ac.uk/events-courses,
Course,Surgery,Surgical Skills for Students,Course,Royal College of Surgeons of Edinburgh,UK,https://www.rcsed.ac.uk/events-courses,
Course,Surgery,Human Factors in Surgery,Course,Royal College of Surgeons of Edinburgh,UK,https://www.rcsed.ac.uk/events-courses,
Course,Surgery,Surgical Leadership Courses,Course,Royal College of Surgeons of Edinburgh,UK,https://www.rcsed.ac.uk/events-courses,
Course,Surgery,Dental Sedation and Medical Emergencies Courses,Course,Royal College of Surgeons of Edinburgh,UK,https://www.rcsed.ac.uk/events-courses,
Course,Surgery / Medicine / Travel Medicine,Basic Surgical Skills,Course/Conference,Royal College of Physicians and Surgeons of Glasgow,UK,https://rcpsg.ac.uk/education,
Course,Surgery / Medicine / Travel Medicine,MRCS Part B Preparation,Course/Conference,Royal College of Physicians and Surgeons of Glasgow,UK,https://rcpsg.ac.uk/education,
Course,Surgery / Medicine / Travel Medicine,Clinical Skills Courses,Course/Conference,Royal College of Physicians and Surgeons of Glasgow,UK,https://rcpsg.ac.uk/education,
Course,Surgery / Medicine / Travel Medicine,Faculty of Travel Medicine Annual Conference,Course/Conference,Royal College of Physicians and Surgeons of Glasgow,UK,https://rcpsg.ac.uk/education,
Course,Surgery / Medicine / Travel Medicine,Travel Medicine Courses,Course/Conference,Royal College of Physicians and Surgeons of Glasgow,UK,https://rcpsg.ac.uk/education,
Course,Surgery / Medicine / Travel Medicine,PACES Preparation Course,Course/Conference,Royal College of Physicians and Surgeons of Glasgow,UK,https://rcpsg.ac.uk/education,
Course,Surgery / Medicine / Travel Medicine,Medical Education Courses,Course/Conference,Royal College of Physicians and Surgeons of Glasgow,UK,https://rcpsg.ac.uk/education,
Course,Surgery / Medicine / Travel Medicine,Dentistry and Oral Surgery Courses,Course/Conference,Royal College of Physicians and Surgeons of Glasgow,UK,https://rcpsg.ac.uk/education,
Course,Medicine / Leadership,Chief Registrar Programme,Course,Royal College of Physicians,UK,https://www.rcp.ac.uk/education-practice/courses/,
Course,Medicine / Leadership,SAS Leadership Programme,Course,Royal College of Physicians,UK,https://www.rcp.ac.uk/education-practice/courses/,
Course,Medicine / Leadership,Emerging Women Leaders Programme,Course,Royal College of Physicians,UK,https://www.rcp.ac.uk/education-practice/courses/,
Course,Medicine / Leadership,Aspiring Medical Director Programme,Course,Royal College of Physicians,UK,https://www.rcp.ac.uk/education-practice/courses/,
Course,Medicine / Leadership,The Role of a Clinical Director,Course,Royal College of Physicians,UK,https://www.rcp.ac.uk/education-practice/courses/,
Course,Medicine / Leadership,Developing Yourself as a Senior Medical Leader,Course,Royal College of Physicians,UK,https://www.rcp.ac.uk/education-practice/courses/,
Course,Medicine / Leadership,Fundamentals of Quality Improvement,Course,Royal College of Physicians,UK,https://www.rcp.ac.uk/education-practice/courses/,
Course,Medicine / Leadership,Aspiring Women Leaders,Course,Royal College of Physicians,UK,https://www.rcp.ac.uk/education-practice/courses/,
Course,Medicine / Leadership,Starting Strong as a New Consultant,Course,Royal College of Physicians,UK,https://www.rcp.ac.uk/education-practice/courses/,
Course,Medicine / Leadership,Fundamentals of Leading Others,Course,Royal College of Physicians,UK,https://www.rcp.ac.uk/education-practice/courses/,
Course,Medicine / Leadership,Educational Supervisor Workshop and Accreditation,Course,Royal College of Physicians,UK,https://www.rcp.ac.uk/education-practice/courses/,
Course,Medicine / Leadership,Teach the Teacher,Course,Royal College of Physicians,UK,https://www.rcp.ac.uk/education-practice/courses/,
Course,Medicine / Leadership,PACES Preparation Course,Course,Royal College of Physicians,UK,https://www.rcp.ac.uk/education-practice/courses/,
Course,Medicine / Leadership,Medical Registrar Training,Course,Royal College of Physicians,UK,https://www.rcp.ac.uk/education-practice/courses/,
Course,Medicine / Leadership,Consultant Development Programme,Course,Royal College of Physicians,UK,https://www.rcp.ac.uk/education-practice/courses/,
Course,Medicine,RCPE Evening Medical Updates,Course/Event,Royal College of Physicians of Edinburgh,UK,https://www.rcpe.ac.uk/events,
Course,Medicine,RCPE Symposia,Course/Event,Royal College of Physicians of Edinburgh,UK,https://www.rcpe.ac.uk/events,
Course,Medicine,RCPE Online Education,Course/Event,Royal College of Physicians of Edinburgh,UK,https://www.rcpe.ac.uk/events,
Course,Medicine,MRCP PACES Preparation,Course/Event,Royal College of Physicians of Edinburgh,UK,https://www.rcpe.ac.uk/events,
Course,Medicine,Acute Medicine Updates,Course/Event,Royal College of Physicians of Edinburgh,UK,https://www.rcpe.ac.uk/events,
Course,Medicine,Geriatric Medicine Updates,Course/Event,Royal College of Physicians of Edinburgh,UK,https://www.rcpe.ac.uk/events,
Course,Medicine,Respiratory Medicine Updates,Course/Event,Royal College of Physicians of Edinburgh,UK,https://www.rcpe.ac.uk/events,
Course,Medicine,Cardiology Updates,Course/Event,Royal College of Physicians of Edinburgh,UK,https://www.rcpe.ac.uk/events,
Course,Medicine,Neurology Updates,Course/Event,Royal College of Physicians of Edinburgh,UK,https://www.rcpe.ac.uk/events,
Course,Medicine,Gastroenterology Updates,Course/Event,Royal College of Physicians of Edinburgh,UK,https://www.rcpe.ac.uk/events,
Course,General Practice,One Day Essentials,Course,Royal College of General Practitioners,UK,https://www.rcgp.org.uk/learning,
Course,General Practice,MRCGP AKT Preparation,Course,Royal College of General Practitioners,UK,https://www.rcgp.org.uk/learning,
Course,General Practice,MRCGP SCA Preparation,Course,Royal College of General Practitioners,UK,https://www.rcgp.org.uk/learning,
Course,General Practice,Minor Surgery Skills,Course,Royal College of General Practitioners,UK,https://www.rcgp.org.uk/learning,
Course,General Practice,Consulting Skills Courses,Course,Royal College of General Practitioners,UK,https://www.rcgp.org.uk/learning,
Course,General Practice,Essentials Webinar Series,Course,Royal College of General Practitioners,UK,https://www.rcgp.org.uk/learning,
Course,General Practice,Learn and Connect,Course,Royal College of General Practitioners,UK,https://www.rcgp.org.uk/learning,
Course,General Practice,Dermatology for Primary Care,Course,Royal College of General Practitioners,UK,https://www.rcgp.org.uk/learning,
Course,General Practice,Women's Health in Primary Care,Course,Royal College of General Practitioners,UK,https://www.rcgp.org.uk/learning,
Course,General Practice,Child Health in Primary Care,Course,Royal College of General Practitioners,UK,https://www.rcgp.org.uk/learning,
Course,General Practice,Lifestyle Medicine Courses,Course,Royal College of General Practitioners,UK,https://www.rcgp.org.uk/learning,
Course,General Practice,Safeguarding Courses,Course,Royal College of General Practitioners,UK,https://www.rcgp.org.uk/learning,
Course,General Practice,GP Leadership Courses,Course,Royal College of General Practitioners,UK,https://www.rcgp.org.uk/learning,
Course,General Practice,Urgent and Unscheduled Care Courses,Course,Royal College of General Practitioners,UK,https://www.rcgp.org.uk/learning,
Course,General Practice,Musculoskeletal Medicine for GPs,Course,Royal College of General Practitioners,UK,https://www.rcgp.org.uk/learning,
Course,Anaesthesia / Pain / Airway,Core Anaesthesia Training,Course,Royal College of Anaesthetists / e-Learning for Healthcare,UK,https://www.e-lfh.org.uk/programmes/,
Course,Anaesthesia / Pain / Airway,Pain Management Course (e-PAIN),Course,Royal College of Anaesthetists / e-Learning for Healthcare,UK,https://www.e-lfh.org.uk/programmes/,
Course,Anaesthesia / Pain / Airway,Management of Procedure-Induced Anxiety in Children,Course,Royal College of Anaesthetists / e-Learning for Healthcare,UK,https://www.e-lfh.org.uk/programmes/,
Course,Anaesthesia / Pain / Airway,Neonatal Airway Course,Course,Royal College of Anaesthetists / e-Learning for Healthcare,UK,https://www.rcoa.ac.uk/events-professional-development,
Course,Anaesthesia / Pain / Airway,Tracheostomy Safety Course,Course,Royal College of Anaesthetists / e-Learning for Healthcare,UK,https://www.e-lfh.org.uk/programmes/,
Course,Anaesthesia / Pain / Airway,Anaesthesia Updates,Course,Royal College of Anaesthetists / e-Learning for Healthcare,UK,https://www.rcoa.ac.uk/events-professional-development,
Course,Anaesthesia / Pain / Airway,Airway Management Courses,Course,Royal College of Anaesthetists / e-Learning for Healthcare,UK,https://www.rcoa.ac.uk/events-professional-development,
